ID,Premisestype,Date,Item,Material,Measure,Site,Type,Collection_frequency,Collection_efficiency,Value,Correted_value
3,pt_commercial,31/05/2019 00:00:00,aluminium_cans,metal,count,Belmopan,Supermarket,3.50000000000000,0.03733333300000,2.00000000000000,15.30612245000000
4,pt_commercial,31/05/2019 00:00:00,aluminium_cans,metal,count,Belmopan,Hotels,2.00000000000000,0.15384615400000,2.00000000000000,6.50000000200000
69,pt_commercial,14/06/2019 00:00:00,aluminium_cans,metal,count,Toledo Rural,Admin,1.00000000000000,0.00000000000000,2.00000000000000,2.00000000000000
66,pt_commercial,14/06/2019 00:00:00,aluminium_cans,metal,count,Toledo Rural,Food_outlet,0.00000000000000,0.00000000000000,1.00000000000000,0.15625000000000
68,pt_commercial,14/06/2019 00:00:00,aluminium_cans,metal,count,Toledo Rural,Retail_shop,1.00000000000000,0.00000000000000,1.00000000000000,1.00000000000000
60,pt_commercial,11/06/2019 00:00:00,aluminium_cans,metal,count,Corozal Town,Retail_shop,7.00000000000000,0.50000000000000,18.00000000000000,5.14285714300000
28,pt_commercial,05/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Food_outlet,7.00000000000000,0.10000000000000,0.60000000000000,0.85714285700000
26,pt_commercial,05/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Retail_shop,7.00000000000000,0.33333333300000,0.30000000000000,0.12857142900000
35,pt_commercial,06/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Food_outlet,3.50000000000000,1.00000000000000,0.50000000000000,0.14285714300000
36,pt_commercial,06/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Admin,3.50000000000000,0.10000000000000,2.00000000000000,5.71428571400000
40,pt_commercial,06/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Admin,3.50000000000000,0.16666666700000,0.30000000000000,0.51428571400000
39,pt_commercial,06/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Retail_shop,7.00000000000000,0.05000000000000,0.30000000000000,0.85714285700000
41,pt_commercial,06/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Food_outlet,7.00000000000000,0.30000000000000,0.30000000000000,0.14285714300000
44,pt_commercial,06/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Food_outlet,3.50000000000000,0.75000000000000,1.80000000000000,0.68571428600000
50,pt_commercial,07/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Retail_shop,7.00000000000000,0.35000000000000,0.80000000000000,0.32653061200000
54,pt_commercial,07/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Retail_shop,3.50000000000000,1.30000000000000,0.30000000000000,0.06593406600000
51,pt_commercial,07/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Admin,3.50000000000000,0.50000000000000,0.50000000000000,0.28571428600000
53,pt_commercial,07/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Retail_shop,7.00000000000000,0.16666666700000,1.80000000000000,1.54285714300000
30,pt_commercial,05/06/2019 00:00:00,aluminium_cans,metal,volume,Belize City,Retail_shop,7.00000000000000,0.50000000000000,0.50000000000000,0.14285714300000
1,pt_commercial,31/05/2019 00:00:00,aluminium_cans,metal,volume,Belmopan,Food_outlet,3.50000000000000,0.50000000000000,0.70000000000000,0.40000000000000
3,pt_commercial,31/05/2019 00:00:00,aluminium_cans,metal,volume,Belmopan,Supermarket,3.50000000000000,0.03733333300000,0.90000000000000,6.88775510300000
4,pt_commercial,31/05/2019 00:00:00,aluminium_cans,metal,volume,Belmopan,Hotels,2.00000000000000,0.15384615400000,1.00000000000000,3.25000000100000
69,pt_commercial,14/06/2019 00:00:00,aluminium_cans,metal,volume,Toledo Rural,Admin,1.00000000000000,0.00000000000000,0.60000000000000,0.60000000000000
66,pt_commercial,14/06/2019 00:00:00,aluminium_cans,metal,volume,Toledo Rural,Food_outlet,0.00000000000000,0.00000000000000,0.30000000000000,0.04687500000000
68,pt_commercial,14/06/2019 00:00:00,aluminium_cans,metal,volume,Toledo Rural,Retail_shop,1.00000000000000,0.00000000000000,0.30000000000000,0.30000000000000
60,pt_commercial,11/06/2019 00:00:00,aluminium_cans,metal,volume,Corozal Town,Retail_shop,7.00000000000000,0.50000000000000,4.00000000000000,1.14285714300000
32,pt_commercial,05/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Food_outlet,3.50000000000000,1.00000000000000,0.03800000000000,0.01085714300000
21,pt_commercial,04/06/2019 00:00:00,aluminium_recyclable,metal,weight,Dangriga,Retail_shop,0.00000000000000,1.00000000000000,0.43000000000000,0.43000000000000
22,pt_commercial,04/06/2019 00:00:00,aluminium_recyclable,metal,weight,Dangriga,Retail_shop,7.00000000000000,1.00000000000000,0.00500000000000,0.00071428600000
23,pt_commercial,04/06/2019 00:00:00,aluminium_recyclable,metal,weight,Dangriga,Admin,7.00000000000000,0.05882352900000,0.02500000000000,0.06071428600000
24,pt_commercial,04/06/2019 00:00:00,aluminium_recyclable,metal,weight,Dangriga,Food_outlet,7.00000000000000,1.00000000000000,0.02900000000000,0.00414285700000
31,pt_commercial,05/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Food_outlet,7.00000000000000,1.00000000000000,0.01000000000000,0.00142857100000
27,pt_commercial,05/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Retail_shop,7.00000000000000,0.10000000000000,0.02800000000000,0.04000000000000
28,pt_commercial,05/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Food_outlet,7.00000000000000,0.10000000000000,0.04800000000000,0.06857142900000
26,pt_commercial,05/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Retail_shop,7.00000000000000,0.33333333300000,0.25600000000000,0.10971428600000
35,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Food_outlet,3.50000000000000,1.00000000000000,0.00500000000000,0.00142857100000
34,pt_commercial,05/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Admin,3.50000000000000,0.20000000000000,0.01200000000000,0.01714285700000
36,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Admin,3.50000000000000,0.10000000000000,0.06100000000000,0.17428571400000
40,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Admin,3.50000000000000,0.16666666700000,0.14500000000000,0.24857142900000
42,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Other,3.50000000000000,0.08333333300000,0.21400000000000,0.73371428600000
41,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Food_outlet,7.00000000000000,0.30000000000000,0.05400000000000,0.02571428600000
43,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Admin,3.50000000000000,0.00000000000000,0.02900000000000,0.00828571400000
45,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Retail_shop,7.00000000000000,0.50000000000000,0.07700000000000,0.02200000000000
47,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Other,3.50000000000000,0.00000000000000,0.08600000000000,0.02457142900000
49,pt_commercial,06/06/2019 00:00:00,aluminium_recyclable,metal,weight,Belize City,Retail_shop,7.00000000000000,0.00000000000000,0.18400000000000,0.02628571400000
