,ID,Non_combust_wt_%,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Total_weight_(kg),aluminium_cans,aluminium_recyclable,batteries,bottles_cds,bottles_wine_and_spirits,cardboard,ceramics,drinkbags,electrical_items_and_peripherals_(incl_tvs),energy_kWh_per_kg,eps,feminine_hygiene,flexibles_film,food,hdpe_bottles,jars,lpb,nappies,other,other_glass,other_metal,other_organics,other_plastic,other_sanitary_waste,paper,pet_bottles,plastic_bags,pp,steel_cans,textiles,total_energy_kWh
72,101_V,0.04519471239728475,0.9165773490532332,0.011254019292604505,0.02697391925687746,5.597999999999999,0.049,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,2.97,0.0,0.0,0.038,0.0,0.0,0.0,0.033,0.015,0.0,0.0,0.0,5.1160000000000005,0.027000000000000003,0.0,0.0,0.086,0.0,0.0,0.204,0.012,16.63
73,102_V,0.035475578406169675,0.8946015424164525,0.04498714652956298,0.024935732647814908,7.78,0.01,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,2.99,0.0,0.0,0.055999999999999994,0.0,0.0,0.0,0.068,0.0,0.033,0.0,0.0,6.96,0.0,0.0,0.105,0.135,0.0,0.003,0.233,0.096,23.26
74,103_V,0.006652661064425768,0.9415266106442576,0.030462184873949576,0.021358543417366944,2.8560000000000003,0.0,0.001,0.0,0.0,0.0,0.087,0.0,0.0,0.0,3.09,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6889999999999996,0.006,0.0,0.0,0.016,0.016,0.0,0.018000000000000002,0.0,8.83
75,104_V,0.02323799795709908,0.9405005107252298,0.0,0.0362614913176711,3.9160000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.0,3.6830000000000003,0.07,0.0,0.0,0.027999999999999997,0.0,0.0,0.054000000000000006,0.0,11.9
76,105_V,0.06327793616577428,0.7931298240734302,0.07565537862457407,0.0679368611362214,14.380999999999998,0.0,0.0,0.0,0.0,0.0,0.354,0.0,0.0,0.0,2.83,0.0,0.0,0.20600000000000002,0.0,0.0,0.35200000000000004,0.0,0.0,0.204,0.0,0.099,11.405999999999999,0.174,0.0,0.691,0.563,0.0,0.034,0.255,0.043,40.7
77,106_V,0.010002703433360368,0.8869964855366315,0.0788050824547175,0.024195728575290617,7.398,0.0,0.003,0.0,0.0,0.0,0.44799999999999995,0.0,0.0,0.0,3.05,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.562,0.096,0.0,0.085,0.019,0.0,0.0,0.071,0.05,22.56
78,107_V,0.01949860724233983,0.9133395233673784,0.0263076446920458,0.04085422469823584,12.924000000000001,0.0,0.0,0.0,0.0,0.0,0.294,0.091,0.0,0.0,3.04,0.0,0.0,0.11,0.0,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,11.804,0.228,0.0,0.046,0.17,0.0,0.009000000000000001,0.161,0.0,39.29
79,108_V,0.03289051763628036,0.8711406321575813,0.044571690334402204,0.05139715987173614,21.83,0.015,0.0,0.0,0.0,0.0,0.792,0.0,0.0,0.0,2.98,0.0,0.098,0.344,0.0,0.0,0.0,0.013999999999999999,0.581,0.055999999999999994,0.0,0.109,18.338,0.053,0.0,0.146,0.708,0.0,0.017,0.5379999999999999,0.021,65.05
80,109_V,0.0019575457270447176,0.8038172141677372,0.030341958769193118,0.16388328133602495,16.346999999999998,0.0,0.013999999999999999,0.0,0.0,0.0,0.12300000000000001,0.0,0.0,0.0,2.99,0.0,0.0,0.33899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14,0.16399999999999998,0.0,0.04,2.164,0.0,0.012,0.018000000000000002,0.33299999999999996,48.88
81,110_V,0.3134599273945825,0.4322814856185424,0.115470538955599,0.1387880480312762,7.162000000000001,0.069,0.004,0.0,0.0,0.0,0.762,0.0,0.0,0.0,1.69,0.0,0.0,0.512,0.0,0.0,0.41,0.0,0.22399999999999998,0.013999999999999999,0.0,0.0,2.872,0.205,0.0,0.031,0.25,0.027000000000000003,0.0,1.7480000000000002,0.034,12.1
82,111_V,0.0,1.0,0.0,0.0,15.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.09
83,112_V,0.0,1.0,0.0,0.0,13.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.95
84,113_V,0.15530458189478613,0.6878108724910762,0.12288606706068232,0.03399847855345544,17.089000000000002,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.13,0.0,0.026000000000000002,1.17,0.025,11.45,0.523,0.0,0.0,0.304,0.179,0.0,0.19899999999999998,0.19,0.0,0.055999999999999994,0.88,1.876,42.38
