ID,Date,Premisestype,Location,BusinessType,Other_notes,Locationlat,Locationlong,Whocollectstherubbish,Collectionperiod,Accumulationtimenum,Collectionrating,Wastedisposalgreen,Wastedisposalgeneral,Comments,Collected,NumberofEmployees,FloorSpace,FloorSpaceUnits,NumberofRooms
551,07/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,,17.492111,-88.187206,council,p_week,7.00000000000000,5,other,disp_collect,,1.00000000000000,7,,,1
30,05/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,,17.50783,-88.189515,private,p_week,7.00000000000000,5,other,disp_collect,,0.50000000000000,1,0,,1
1,31/05/2019 00:00:00,pt_commercial,Belmopan,Food_outlet,,17.251106,-88.773744,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,Satisfied,0.50000000000000,3,1,sq_feet,4
2,31/05/2019 00:00:00,pt_commercial,Belmopan,Supermarket,,17.250079,-88.782679,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,They would recommend at least 3x per week,1.00000000000000,2,,,2
3,31/05/2019 00:00:00,pt_commercial,Belmopan,Supermarket,,17.255616,-88.786198,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,None,0.03733333300000,7,200,sq_feet,3
4,31/05/2019 00:00:00,pt_commercial,Belmopan,Hotels,,17.25122,-88.78535,council,p_2days,2.00000000000000,5,disp_collect,disp_collect,Satisfied,0.15384615400000,4,,,25
5,31/05/2019 00:00:00,pt_commercial,Belmopan,Food_outlet,,17.250028,-88.782051,council,p_2days,2.00000000000000,5,disp_collect,disp_collect,Satisfied h,0.14285714300000,5,,,3
6,31/05/2019 00:00:00,pt_commercial,Belmopan,Retail_shop,,17.245259,-88.776542,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,Gas station - call to pick up sometimes cause it run over,1.00000000000000,20,180,sq_feet,12
7,31/05/2019 00:00:00,pt_commercial,Belmopan,Retail_shop,,17.246844,-88.784503,council,p_3days,3.50000000000000,4,other,disp_collect,Car wash - sometimes they don’t for a week,0.50000000000000,2,3,,2
8,31/05/2019 00:00:00,pt_commercial,Belmopan,Admin,,17.241858,-88.782167,council,p_week,7.00000000000000,5,disp_collect,disp_collect,No issues,1.00000000000000,4,200,sq_feet,7
9,31/05/2019 00:00:00,pt_commercial,Belmopan,Supermarket,,17.242498,-88.778085,council,p_2days,2.00000000000000,5,disp_collect,disp_collect,They’re ok with it,0.03692307700000,5,280,sq_feet,3
