,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,cardboard,paper,eps,plastic_bags,flexibles_film,other_plastic,jars,food,textiles,other_organics,aluminium_cans,steel_cans,lpb,pp,pet_bottles,nappies,aluminium_recyclable,batteries,other
35,37,0.9316725978647687,0.004982206405693951,0.032740213523131674,0.030604982206405697,5.62,3.02,16.97,0.028,0.0,0.0,0.028,0.144,0.012,0.0,0.0,0.0,5.236,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,38,0.9119114578608366,0.001270071668329856,0.02222625419577248,0.06459221627506125,22.046,2.91,64.15,0.028,0.0,0.0,0.02,0.176,0.004,0.0,0.0,0.0,20.104,0.68,0.588,0.0,0.058,0.232,0.0,0.0,0.156,0.0
37,39,0.9054409525128063,0.015367575799529283,0.04098020213207809,0.03821126955558632,14.446,2.98,43.05,0.222,0.0,0.0,0.104,0.276,0.04,0.0,0.0,0.0,13.08,0.348,0.204,0.0,0.0,0.172,0.0,0.0,0.0,0.0
38,40,0.9083376488865872,0.0,0.03780424650440187,0.05385810460901087,7.724,2.94,22.71,0.0,0.0,0.008,0.0,0.212,0.03,0.0,0.0,0.0,7.016,0.31,0.106,0.0,0.0,0.042,0.0,0.0,0.0,0.0
39,41,0.16996047430830039,0.0,0.08695652173913042,0.7430830039525691,3.0360000000000005,0.58,1.76,0.0,0.0,0.0,0.028,0.236,0.0,0.0,0.0,0.0,0.0,1.176,1.08,0.0,0.0,0.0,0.516,0.0,0.0,0.0
40,42,0.7265770197879086,0.18016836121132612,0.04624467038373237,0.047009948617032914,18.294,2.78,50.86,1.148,0.0,0.0,0.44,0.076,0.226,0.0,0.0,2.148,13.292,0.66,0.0,0.0,0.0,0.104,0.0,0.0,0.2,0.0
41,43,0.0783410138248848,0.0527859237536657,0.020527859237536663,0.8483452031839129,9.547999999999998,0.26,2.48,0.0,0.0,0.0,0.108,0.036,0.0,0.0,0.748,0.504,0.0,3.772,4.328,0.0,0.0,0.052,0.0,0.0,0.0,0.0
42,44,0.9699439633214467,0.0,0.028273051451859398,0.001782985226693836,15.703999999999999,3.11,48.84,0.0,0.0,0.0,0.076,0.308,0.06,0.0,0.0,0.0,15.232,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,45,0.2980224677374431,0.0,0.07158109739114288,0.6303964348714141,21.541999999999998,1.0,21.54,0.0,0.0,0.008,0.584,0.728,0.022,0.0,6.42,0.0,0.0,4.244,4.96,0.0,0.0,0.2,0.0,0.0,0.0,4.376
44,46,0.0,0.0,0.08153477218225419,0.9184652278177458,3.3360000000000003,0.0,0.0,0.0,0.0,0.0,0.164,0.108,0.0,0.0,0.0,0.0,0.0,1.544,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
