,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,eps,plastic_bags,pet_bottles,pp,flexibles_film,other_plastic,feminine_hygiene,cardboard,drinkbags,nappies,hdpe_bottles,paper,aluminium_cans,jars,other_organics,food,lpb,aluminium_recyclable,steel_cans,other_sanitary_waste,textiles,other,bottles_wine_and_spirits,bottles_cds,other_metal,other_glass
68,69,0.8100404560500184,0.05296064729680031,0.1036226553880103,0.033376241265171025,10.876,2.92,31.76,0.091,0.213,0.038,0.02,0.391,0.021,0.635,0.438,0.0,0.0,0.353,0.0,0.0,0.233,0.0,7.837,0.05,0.005,0.125,0.338,0.088,0.0,0.0,0.0,0.0,0.0
69,70,0.5818141396176079,0.16963094708759452,0.04646509559804358,0.20208981769675416,8.995999999999999,2.21,19.88,0.0,0.191,0.0,0.0,0.087,0.092,0.0,0.409,0.0,0.0,0.048,0.0,0.0,0.372,1.798,3.436,1.117,0.001,0.0,0.0,0.0,0.145,0.0,0.0,1.3,0.0
70,71,0.24409448818897636,0.04724409448818897,0.6666666666666666,0.04199475065616798,0.381,1.3,0.5,0.037,0.042,0.0,0.002,0.035,0.125,0.0,0.0,0.006500000000000001,0.0,0.0,0.018,0.0,0.0,0.0,0.057,0.0,0.016,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0
71,72,0.3957397478626286,0.12911172293870454,0.30589769598608896,0.16925083321257792,6.901000000000001,1.77,12.21,0.081,0.499,0.88,0.0,0.101,0.296,0.0,0.0,0.01,0.0,0.244,0.103,0.0,0.0,0.0,1.94,0.048,0.189,0.444,0.791,0.74,0.0,0.535,0.0,0.0,0.0
72,73,0.6044090630740967,0.0,0.20636864666258423,0.18922229026331905,1.633,2.27,3.71,0.091,0.232,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,74,0.7706829539144919,0.03359244863964464,0.16046640755136032,0.03525818989450305,7.204,2.87,20.68,0.012,0.287,0.129,0.0,0.382,0.069,0.0,0.0,0.066,0.0,0.211,0.0,0.0,0.135,0.0,3.833,0.0,0.084,0.035,1.719,0.242,0.0,0.0,0.0,0.0,0.0
74,75,1.0,0.0,0.0,0.0,21.274,3.12,66.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.836,11.764,0.0,0.0,0.0,0.674,0.0,0.0,0.0,0.0,0.0,0.0
75,76,0.6669293998423601,0.289044026573584,0.039184776489134106,0.0048417970949217425,8.881,2.76,24.51,0.0,0.152,0.09,0.0,0.097,0.0,0.0,0.517,0.009,0.0,0.0,0.0,0.0,0.0,0.0,5.923,0.0,0.004,0.039,0.0,2.05,0.0,0.0,0.0,0.0,0.0
76,77,0.8430061784665249,0.01721867720044566,0.07829433809379116,0.06148080623923833,9.873000000000001,2.88,28.43,0.02,0.255,0.289,0.0,0.165,0.019,0.0,0.125,0.0125,6.484,0.0,0.045,0.0,0.363,0.0,1.839,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.18,0.0,0.0
77,78,0.465601611974669,0.3605354058721934,0.11816350028785262,0.055699481865284964,6.948000000000001,2.15,14.94,0.0,0.157,0.362,0.0,0.18,0.092,0.488,0.645,0.03,1.427,0.0,0.0,0.0,0.285,0.0,1.32,1.86,0.037,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,79,0.9574062301335029,0.0,0.0270184361093452,0.01557533375715194,3.146,3.07,9.66,0.074,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,3.012,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,80,0.9150980392156863,0.015490196078431374,0.06352941176470589,0.0058823529411764705,5.1,3.08,15.71,0.0,0.189,0.04,0.0,0.095,0.0,0.0,0.0,0.0,3.3,0.0,0.035,0.0,0.0,0.0,1.367,0.044,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,81,0.43355481727574746,0.23421926910299,0.2315614617940199,0.10066445182724253,3.0100000000000002,1.98,5.96,0.042,0.209,0.067,0.003,0.095,0.199,0.16,0.0,0.017,0.0,0.065,0.0,0.0,0.0,0.0,1.145,0.0,0.0,0.03,0.0,0.705,0.0,0.0,0.0,0.0,0.273
81,82,0.4160565189466923,0.1312780989081567,0.20488118175979447,0.24778420038535645,7.785000000000001,1.73,13.47,0.039,0.708,0.285,0.012,0.308,0.0,0.0,0.34,0.035,0.0,0.208,0.259,0.0,0.488,0.0,2.86,0.046,0.171,0.498,0.379,0.377,0.772,0.0,0.0,0.0,0.0
82,83,0.6954697986577182,0.06991051454138703,0.0732662192393736,0.16135346756152125,7.151999999999999,2.48,17.74,0.085,0.149,0.023,0.0,0.129,0.05,0.0,0.356,0.011,0.0,0.077,0.063,0.0,0.0,0.0,3.382,0.081,0.015,0.0,1.592,0.0,0.0,0.523,0.0,0.0,0.616
